SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
AAT-12.3,AAT-12.3_A02,the organization publicly discloses information about Artificial Intelligence and Autonomous Technologies (AAT) in sufficient detail to assess the origin of data used by the AAT.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12.4,AAT-12.4_A01,Artificial Intelligence and Autonomous Technologies (AAT) are configured to enable auditing of content modifications.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-12.4,AAT-12.4_A02,Artificial Intelligence and Autonomous Technologies (AAT) are configured to generate event logs for content-related changes.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-13,AAT-13_A01,"stakeholder competencies, skills and capacities incorporate demographic diversity.",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-13,AAT-13_A02,"stakeholder competencies, skills and capacities incorporate broad domain expertise.",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-13,AAT-13_A03,"stakeholder competencies, skills and capacities incorporate broad user experience expertise.",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-13.1,AAT-13.1_A01,roles and responsibilities exist to compel data and/or process owners to be proficient in Artificial Intelligence (AI) and Autonomous Technologies (AAT).,People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-13.1,AAT-13.1_A02,the organization routinely assesses Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related operator and practitioner proficiency requirements.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-13.1,AAT-13.1_A03,roles and responsibilities are updated as Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related operator and practitioner proficiency requirements evolve.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-14,AAT-14_A01,the organization takes socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-14.1,AAT-14.1_A01,"Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related stakeholders define the tasks that AAT will support (e.g., classifiers, generative models, recommenders).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-14.2,AAT-14.2_A01,the knowledge limits of Artificial Intelligence (AI) and Autonomous Technologies (AAT) are identified and documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-14.2,AAT-14.2_A02,stakeholders are provided the knowledge limits of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to assist in decision making.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-15,AAT-15_A01,"an executive steering committee, or advisory board, defines criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-15,AAT-15_A02,"measures exist for the executive steering committee, or advisory board, to determine whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) development or deployment should proceed.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-15.1,AAT-15.1_A01,residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers and end users of Artificial Intelligence (AI) and Autonomous Technologies (AAT) are identified.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-15.1,AAT-15.1_A02,"residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers and end users of Artificial Intelligence (AI) and Autonomous Technologies (AAT) documented in a Plan of Action & Milestones (POA&M), or similar risk register.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-15.2,AAT-15.2_A01,"an executive steering committee, or advisory board, defines criteria for superseding, disengaging or deactivating Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-15.2,AAT-15.2_A02,"an executive steering committee, or advisory board, assigns responsibility to responsible party(ies) for superseding, disengaging or deactivating Artificial Intelligence (AI) and Autonomous Technologies (AAT) when designated criteria are demonstrated.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16,AAT-16_A01,responsible party(ies) monitor the functionality and behavior of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT) for anomalous performance or outcomes inconsistent with intended use.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.1,AAT-16.1_A01,a risk catalog of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific risks is documented.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.1,AAT-16.1_A02,Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are identified through consultation with domain experts and other end users.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.2,AAT-16.2_A01,cybersecurity / data privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are regularly assessed for errors and potential impacts on affected communities.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.3,AAT-16.3_A01,responsible party(ies) that monitor the functionality and behavior of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT) are trained on identifying unmeasurable risks or trustworthiness characteristics.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.3,AAT-16.3_A02,unmeasurable risks or trustworthiness characteristics are reported in accordance with the organization's Incident Response Plan (IRP).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.4,AAT-16.4_A01,responsible party(ies) gather feedback about efficacy of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related measurements.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.4,AAT-16.4_A02,"an executive steering committee, or advisory board, assesses the efficacy of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related measurements.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.5,AAT-16.5_A01,"input from domain experts and relevant stakeholders is utilized to validate whether the Artificial Intelligence (AI) and Autonomous Technologies (AAT) perform consistently, as intended.",People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.6,AAT-16.6_A01,"an executive steering committee, or advisory board, evaluates performance improvements or declines with domain experts and relevant stakeholders to define context-relevant risks and trustworthiness issues.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.7,AAT-16.7_A01,the organization utilizes pre-trained models for Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related monitoring and maintenance.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.8,AAT-16.8_A01,"Artificial Intelligence (AI) and Autonomous Technologies (AAT) system event logging capabilities are configured to provide start date, start time, end date and end time for each use.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.8,AAT-16.8_A02,Artificial Intelligence (AI) and Autonomous Technologies (AAT) system event logging capabilities are configured to provide database(s) against which input data has been checked by the system.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.8,AAT-16.8_A03,Artificial Intelligence (AI) and Autonomous Technologies (AAT) system event logging capabilities are configured to provide input data for which the search has led to a match.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.8,AAT-16.8_A04,Artificial Intelligence (AI) and Autonomous Technologies (AAT) system event logging capabilities are configured to provide identification of individual(s) involved in the verification of the results.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.9,AAT-16.9_A01,"criteria to define a ""serious incident"" involving operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) is defined.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.9,AAT-16.9_A02,"the organization report any serious incident involving operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) to relevant authorities as to when and where the serious incident occurred, in accordance with mandated reporting timelines.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.10,AAT-16.10_A01,"investigations for a ""serious incident"" of operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) documents a Root Cause Analysis (RCA).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.10,AAT-16.10_A02,"investigations for a ""serious incident"" of operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) documents a risk assessment of the incident.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.10,AAT-16.10_A03,"investigations for a ""serious incident"" of operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) documents a description of corrective actions taken, including measures implemented to prevent a recurrence of the incident.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.11,AAT-16.11_A01,a real-time review feature allows personnel to analyze anomalous Artificial Intelligence (AI) and Autonomous Technologies (AAT) behavior and provide escalation paths.,People,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.11,AAT-16.11_A02,escalation paths enable human intervention to address AAT anomalies.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.12,AAT-16.12_A01,human reviews are performed to determine the root cause of high-risk or ambiguous Artificial Intelligence (AI) and Autonomous Technologies (AAT) actions.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.12,AAT-16.12_A02,clear escalation paths for approval exist for instances involving high-risk or ambiguous AAT actions.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.13,AAT-16.13_A01,the organization has the ability to detect emergent or collusive behaviors among multiple Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.13,AAT-16.13_A02,the organization has the ability to contain emergent or collusive behaviors among multiple AAT through automated or human-triggered means.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.13,AAT-16.13_A03,formal investigation determines the root cause of agentic cascades or collusion.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.14,AAT-16.14_A01,AI agent to AI agent communications to are validated to detect poisoning or consensus manipulation.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-16.14,AAT-16.14_A02,AI agent to AI agent communications to are validated to identify rogue or compromised AI agents in distributed or multi-agent environments.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17,AAT-17_A01,the organization proactively identifies unanticipated and emergent Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17,AAT-17_A02,"the organization tracks existing, unanticipated and emergent Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks in a Plan of Action & Milestones (POA&M), or similar risk register.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.1,AAT-17.1_A01,"an executive steering committee, or advisory board, evaluates business practices that could pose harm to human subjects from Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.1,AAT-17.1_A02,"measures exist for the executive steering committee, or advisory board, to implement safeguards to protect human subjects from harm due to Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.2,AAT-17.2_A01,"an executive steering committee, or advisory board, evaluates the environmental impacts of Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.2,AAT-17.2_A02,"an executive steering committee, or advisory board, evaluates the sustainability of Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.3,AAT-17.3_A01,an incident response capability exists to appropriately respond to previously unknown Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risk when it is identified.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.4,AAT-17.4_A01,novel methods and technologies for the measurement of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.4,AAT-17.4_A02,novel methods and technologies for the measurement of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks to evaluate content provenance.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.4,AAT-17.4_A03,novel methods and technologies for the measurement of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks to evaluate oﬀensive cyber capabilities.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.4,AAT-17.4_A04,"novel methods and technologies for the measurement of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks to evaluate Chemical, Biological, Radiological or Nuclear (CBRN) weapons.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.4,AAT-17.4_A05,novel methods and technologies for the measurement of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks to evaluate other dangerous materials or agents.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.5,AAT-17.5_A01,actions to fine-tune Artificial Intelligence (AI) and Autonomous Technologies (AAT) that do not compromise existing safety and/or security controls are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-17.5,AAT-17.5_A02,the organization ensures actions to fine-tune Artificial Intelligence (AI) and Autonomous Technologies (AAT) do not compromise existing safety and/or security controls.,Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-18,AAT-18_A01,"an executive steering committee, or advisory board, tracks Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are difficult to assess using currently available measurement techniques or where metrics are not yet available.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-18.1,AAT-18.1_A01,"responsible party(ies) prioritize, respond to and remediate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks based on assessments and other analytical output.",Process,SCF Created,,1,,,,,,,,,,,,,,,
AAT-19,AAT-19_A01,the organization defines use cases for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Process,SCF Created,,1,,,,,,,,,,,,,,,
